
2026-05-26	沪电股份	卖出	20→0%	126.82	-
2026-05-26	拓荆科技	卖出	46→0%	736.03	-
2026-05-26	胜宏科技	买入	0→68%	388.11	-
2026-05-22	拓荆科技	688拦截	0→46%	586.16	-
2026-05-19	剑桥科技	加仓(持仓已满)	50→59%	184.30	-
2026-05-15	利通电子	卖出	100→0%	171.02	-
2026-05-15	寒武纪	688拦截	0→100%	1251.00	-
2026-05-14	仕佳光子	卖出	78→0%	185.00	-
2026-05-14	中天科技	买入	0→30%	43.94	-
2026-05-14	高澜股份	买入	0→48%	45.64	-
2026-05-14	长电科技	买入	0→50%	56.87	-
2026-05-13	亨通光电	卖出	78→0%	75.72	-
2026-05-13	仕佳光子	688拦截	0→78%	177.10	-
2026-05-08	盛新锂能	减仓(无slice)	37→20%	57.56	-
2026-05-08	胜宏科技	加仓(持仓已满)	28→49%	357.78	-
2026-05-07	盛合晶微	688拦截	0→20%	119.68	-
2026-05-06	天齐锂业	减仓(无slice)	40→33%	80.96	-
2026-05-06	天华新能	减仓(无slice)	44→34%	111.87	-
2026-05-06	淳中科技	加仓(持仓已满)	16→33%	137.16	-
2026-05-06	天齐锂业	减仓(无slice)	40→33%	80.96	-
2026-05-06	天华新能	减仓(无slice)	40→34%	111.87	-
2026-05-06	淳中科技	加仓(持仓已满)	20→33%	137.16	-
2026-04-30	中际旭创	加仓(持仓已满)	12→12%	861.01	-
2026-04-30	中际旭创	减仓(无slice)	70→70%	861.32	-
2026-04-28	中际旭创	减仓(无slice)	26→12%	825.81	-
2026-04-28	新易盛	减仓(无slice)	44→11%	533.48	-
2026-04-28	长芯博创	卖出	30→0%	248.60	-
2026-04-27	新易盛	减仓(无slice)	50→30%	540.89	-
2026-04-27	中际旭创	加仓(持仓已满)	50→70%	869.54	-
2026-04-24	天齐锂业	减仓(无slice)	43→40%	68.87	-
2026-04-24	天华新能	减仓(无slice)	57→40%	86.71	-
2026-04-24	淳中科技	买入	0→20%	146.45	-
2026-04-22	协创数据	加仓(低于最小手数)	1→1%	304.57	-
2026-04-21	协创数据	减仓	30→1%	298.39	+180.03%
2026-04-21	胜宏科技	买入	0→28%	328.02	-
2026-04-16	协创数据	减仓	60→30%	279.78	+162.57%
2026-04-16	罗博特科	买入	0→30%	481.21	-
2026-04-10	利通电子	加仓(持仓已满)	1→100%	73.27	-
2026-04-10	亚翔集成	卖出	1→0%	205.31	-
2026-04-10	利通电子	买入	0→1%	73.30	-
2026-04-10	亚翔集成	减仓(无slice)	100→1%	205.04	-
2026-04-09	仕佳光子	卖出	53→0%	106.50	-
2026-04-09	金盘科技	卖出	23→0%	84.08	-
2026-04-09	亨通光电	买入	0→77%	58.16	-
2026-04-07	长芯博创	卖出	54→0%	182.60	-
2026-04-07	仕佳光子	688拦截	0→53%	92.99	-
2026-04-02	永鼎股份	卖出	41→0%	31.68	-
2026-04-02	长芯博创	加仓(持仓已满)	35→50%	160.00	-
2026-04-02	金盘科技	688拦截	0→25%	75.51	-
2026-03-25	紫金矿业	卖出	44→0%	33.29	-
2026-03-25	盛新锂能	买入	0→38%	35.72	-
2026-03-24	中际旭创	买入	0→26%	590.67	-
2026-03-18	胜宏科技	卖出	100→0%	283.70	-
2026-03-18	东山精密	封顶减仓	0→0%	105.45	-
2026-03-18	东山精密	买入	0→100%	106.52	-
2026-03-16	长芯博创	加仓(持仓已满)	19→30%	160.56	-
2026-03-16	新易盛	买入	0→40%	411.20	-
2026-03-16	天孚通信	卖出	28→0%	310.90	-
2026-03-16	光迅科技	卖出	23→0%	83.43	-
2026-03-13	华工科技	卖出	29→0%	118.99	-
2026-03-04	剑桥科技	加仓(持仓已满)	50→50%	108.80	-
2026-03-04	剑桥科技	加仓(持仓已满)	14→50%	108.82	-
2026-02-24	隆扬电子	卖出	38→0%	53.78	-
2026-02-24	长芯博创	买入	0→38%	162.53	-
2026-02-13	金安国纪	卖出	38→0%	25.80	-
2026-02-13	东山精密	封顶减仓	0→0%	76.51	-
2026-02-13	东山精密	加仓(低于最小手数)	62→100%	77.28	-
2026-02-13	金安国纪	卖出	40→0%	25.80	-
2026-02-13	东山精密	加仓(低于最小手数)	60→100%	77.28	-
2026-02-11	剑桥科技	卖出	47→0%	102.01	-
2026-02-11	金安国纪	减仓(无slice)	53→40%	26.32	-
2026-02-11	东山精密	买入	0→60%	73.41	-
2026-02-09	中际联合	卖出	10→0%	38.75	-15.48%
2026-02-09	盐湖股份	减仓	47→15%	32.56	-3.67%
2026-02-02	长芯博创	卖出	39→0%	161.98	-
2026-02-02	永鼎股份	买入	0→39%	26.99	-
2026-01-29	盐湖股份	减仓(低于最小手数)	47→47%	34.24	-
2026-01-29	盐湖股份	加仓	9→47%	34.58	-
2026-01-29	可川科技	卖出	38→0%	67.19	-
2026-01-29	厦门钨业	卖出	43→0%	64.00	-
2026-01-29	紫金矿业	买入	0→44%	43.67	-
2026-01-28	剑桥科技	减仓(无slice)	100→50%	112.76	-
2026-01-28	金安国纪	买入	0→50%	25.58	-
2026-01-28	珂玛科技	卖出	37→0%	127.50	-
2026-01-28	长芯博创	买入	0→37%	149.49	-
2026-01-15	剑桥科技	减仓(无slice)	50→20%	120.77	-
2026-01-15	可川科技	买入	0→30%	46.35	-
2026-01-14	华友钴业	卖出	19→0%	74.55	-4.98%
2026-01-14	盐湖股份	减仓	31→10%	33.16	+1.85%
2026-01-14	中际联合	买入	0→13%	45.84	-
2026-01-14	剑桥科技	加仓(持仓已满)	23→50%	118.64	-
2026-01-09	华友钴业	减仓	35→20%	74.57	-4.96%
2026-01-09	联特科技	卖出	10→0%	163.73	-
2026-01-09	杰瑞股份	买入	0→25%	75.98	-
2026-01-08	隆扬电子	减仓(无slice)	74→40%	54.18	-
2026-01-08	珂玛科技	买入	0→34%	116.27	-
2026-01-07	天孚通信	卖出	9→0%	199.66	-5.70%
2026-01-07	剑桥科技	减仓(无slice)	35→25%	126.20	-
2026-01-07	联特科技	减仓(无slice)	28→10%	164.20	-
2026-01-07	光库科技	卖出	4→0%	149.01	-
2026-01-07	捷佳伟创	卖出	5→0%	96.87	-3.53%
2026-01-07	盐湖股份	加仓	10→30%	32.55	-
2026-01-07	华友钴业	加仓	10→35%	78.46	-
2025-12-22	亚翔集成	买入	0→100%	96.00	-
2025-12-17	鼎泰高科	卖出	74→0%	126.15	-
2025-12-17	隆扬电子	买入	0→74%	52.83	-
2025-12-17	联特科技	买入	0→30%	164.50	-
2025-12-15	天孚通信	加仓	10→10%	211.73	-
2025-12-15	永鼎股份	卖出	11→0%	19.85	+32.17%
2025-12-15	天孚通信	减仓(无slice)	18→10%	209.74	-
2025-12-15	光库科技	减仓(无slice)	16→5%	164.32	-
2025-12-15	新易盛	减仓(无slice)	70→50%	423.00	-
2025-12-15	中际旭创	加仓(持仓已满)	30→50%	575.58	-
2025-12-15	华友钴业	卖出	27→0%	60.25	-
2025-12-15	斯迪克	卖出	13→0%	26.18	-
